team1,team2,city,venue,season,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets
Kolkata Knight Riders,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2023,Mumbai Indians,field,Mumbai Indians,0,5
Chennai Super Kings,Gujarat Titans,Pune,"Maharashtra Cricket Association Stadium, Pune",2022,Gujarat Titans,field,Gujarat Titans,0,3
Royal Challengers Bangalore,Mumbai Indians,Bengaluru,M.Chinnaswamy Stadium,2018,Mumbai Indians,field,Royal Challengers Bangalore,14,0
Lucknow Super Giants,Kolkata Knight Riders,Kolkata,"Eden Gardens, Kolkata",2023,Kolkata Knight Riders,field,Lucknow Super Giants,1,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,Rajiv Gandhi International Stadium,2019,Royal Challengers Bangalore,field,Sunrisers Hyderabad,118,0
Mumbai Indians,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2024,Rajasthan Royals,field,Rajasthan Royals,0,6
Delhi Daredevils,Rising Pune Supergiant,Delhi,Feroz Shah Kotla,2017,Delhi Daredevils,bat,Delhi Daredevils,7,0
Punjab Kings,Delhi Capitals,Jaipur,"Sawai Mansingh Stadium, Jaipur",2025,Delhi Capitals,field,Delhi Capitals,0,6
Kings XI Punjab,Mumbai Indians,Indore,Holkar Cricket Stadium,2017,Mumbai Indians,field,Mumbai Indians,0,8
Rising Pune Supergiants,Gujarat Lions,Pune,Maharashtra Cricket Association Stadium,2016,Gujarat Lions,field,Gujarat Lions,0,3
Kings XI Punjab,Royal Challengers Bangalore,NA,Dubai International Cricket Stadium,2020/21,Royal Challengers Bangalore,field,Kings XI Punjab,97,0
Royal Challengers Bangalore,Delhi Daredevils,Bangalore,M Chinnaswamy Stadium,2009/10,Royal Challengers Bangalore,field,Delhi Daredevils,17,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,1,0
Punjab Kings,Delhi Capitals,Mumbai,"Brabourne Stadium, Mumbai",2022,Delhi Capitals,field,Delhi Capitals,0,9
Kings XI Punjab,Delhi Daredevils,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017,Kings XI Punjab,field,Kings XI Punjab,0,10
Royal Challengers Bangalore,Lucknow Super Giants,Kolkata,"Eden Gardens, Kolkata",2022,Lucknow Super Giants,field,Royal Challengers Bangalore,14,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2014,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,0,7
Kings XI Punjab,Mumbai Indians,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2016,Kings XI Punjab,field,Mumbai Indians,25,0
Royal Challengers Bangalore,Chennai Super Kings,Sharjah,Sharjah Cricket Stadium,2021,Chennai Super Kings,field,Chennai Super Kings,0,6
Rajasthan Royals,Punjab Kings,Guwahati,"Barsapara Cricket Stadium, Guwahati",2024,Rajasthan Royals,bat,Punjab Kings,0,5
Kolkata Knight Riders,Delhi Capitals,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Delhi Capitals,field,Kolkata Knight Riders,59,0
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,"Eden Gardens, Kolkata",2024,Sunrisers Hyderabad,field,Kolkata Knight Riders,4,0
Punjab Kings,Gujarat Titans,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025,Gujarat Titans,field,Punjab Kings,11,0
Rajasthan Royals,Mumbai Indians,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Mumbai Indians,field,Mumbai Indians,0,5
Delhi Daredevils,Royal Challengers Bangalore,Raipur,Shaheed Veer Narayan Singh International Stadium,2016,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,6
Chennai Super Kings,Kolkata Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",2012,Chennai Super Kings,bat,Kolkata Knight Riders,0,5
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2013,Kings XI Punjab,field,Kings XI Punjab,0,6
Chennai Super Kings,Mumbai Indians,Mumbai,"Brabourne Stadium, Mumbai",2009/10,Mumbai Indians,field,Mumbai Indians,0,5
Royal Challengers Bangalore,Kings XI Punjab,Durban,Kingsmead,2009,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,8,0
Mumbai Indians,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,2
Delhi Daredevils,Rajasthan Royals,Mumbai,Wankhede Stadium,2007/08,Delhi Daredevils,field,Rajasthan Royals,105,0
Deccan Chargers,Kings XI Punjab,Cuttack,Barabati Stadium,2009/10,Kings XI Punjab,field,Deccan Chargers,6,0
Chennai Super Kings,Delhi Daredevils,Chennai,"MA Chidambaram Stadium, Chepauk",2011,Chennai Super Kings,bat,Chennai Super Kings,18,0
Rajasthan Royals,Chennai Super Kings,Jaipur,"Sawai Mansingh Stadium, Jaipur",2023,Rajasthan Royals,bat,Rajasthan Royals,32,0
Delhi Daredevils,Kolkata Knight Riders,Delhi,Feroz Shah Kotla,2017,Delhi Daredevils,bat,Kolkata Knight Riders,0,4
Chennai Super Kings,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,2012,Mumbai Indians,field,Chennai Super Kings,38,0
Kings XI Punjab,Mumbai Indians,Mumbai,Wankhede Stadium,2019,Mumbai Indians,field,Mumbai Indians,0,3
Kolkata Knight Riders,Mumbai Indians,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Kolkata Knight Riders,bat,Mumbai Indians,0,8
Deccan Chargers,Mumbai Indians,Durban,Kingsmead,2009,Deccan Chargers,bat,Deccan Chargers,12,0
Mumbai Indians,Rajasthan Royals,Mumbai,Brabourne Stadium,2009/10,Mumbai Indians,bat,Mumbai Indians,4,0
Kings XI Punjab,Kolkata Knight Riders,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017,Kolkata Knight Riders,field,Kings XI Punjab,14,0
Delhi Capitals,Punjab Kings,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Punjab Kings,field,Delhi Capitals,17,0
Chennai Super Kings,Mumbai Indians,Dubai,Dubai International Cricket Stadium,2021,Chennai Super Kings,bat,Chennai Super Kings,20,0
Kolkata Knight Riders,Kings XI Punjab,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Kolkata Knight Riders,bat,Kolkata Knight Riders,2,0
Delhi Daredevils,Rajasthan Royals,Delhi,Feroz Shah Kotla,2014,Rajasthan Royals,field,Rajasthan Royals,0,7
Rising Pune Supergiant,Gujarat Lions,Pune,Maharashtra Cricket Association Stadium,2017,Rising Pune Supergiant,field,Rising Pune Supergiant,0,5
Delhi Daredevils,Royal Challengers Bangalore,Bengaluru,M.Chinnaswamy Stadium,2018,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,6
Sunrisers Hyderabad,Kolkata Knight Riders,Delhi,Feroz Shah Kotla,2016,Kolkata Knight Riders,field,Sunrisers Hyderabad,22,0
Deccan Chargers,Rajasthan Royals,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2012,Rajasthan Royals,bat,Deccan Chargers,0,5
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,M Chinnaswamy Stadium,2016,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,8,0
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,M Chinnaswamy Stadium,2007/08,Kings XI Punjab,field,Kings XI Punjab,0,6
Delhi Daredevils,Deccan Chargers,Delhi,Feroz Shah Kotla,2012,Deccan Chargers,bat,Delhi Daredevils,0,5
Mumbai Indians,Rajasthan Royals,Mumbai,Wankhede Stadium,2019,Rajasthan Royals,field,Rajasthan Royals,0,4
Pune Warriors,Kolkata Knight Riders,Pune,Subrata Roy Sahara Stadium,2013,Kolkata Knight Riders,bat,Kolkata Knight Riders,46,0
Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,M.Chinnaswamy Stadium,2018,Chennai Super Kings,field,Chennai Super Kings,0,5
Mumbai Indians,Royal Challengers Bangalore,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2023,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,8
Gujarat Titans,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2024,Delhi Capitals,field,Delhi Capitals,0,6
Lucknow Super Giants,Kolkata Knight Riders,Pune,"Maharashtra Cricket Association Stadium, Pune",2022,Kolkata Knight Riders,field,Lucknow Super Giants,75,0
Kings XI Punjab,Chennai Super Kings,Chandigarh,Punjab Cricket Association IS Bindra Stadium,2018,Chennai Super Kings,field,Kings XI Punjab,4,0
Chennai Super Kings,Kings XI Punjab,Mumbai,Wankhede Stadium,2014,Chennai Super Kings,field,Kings XI Punjab,24,0
Royal Challengers Bangalore,Chennai Super Kings,Port Elizabeth,St George's Park,2009,Chennai Super Kings,bat,Chennai Super Kings,92,0
Kings XI Punjab,Delhi Daredevils,Delhi,Arun Jaitley Stadium,2018,Delhi Daredevils,field,Kings XI Punjab,4,0
Rajasthan Royals,Kolkata Knight Riders,Mumbai,"Wankhede Stadium, Mumbai",2022,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7
Chennai Super Kings,Kings XI Punjab,Mumbai,Wankhede Stadium,2007/08,Kings XI Punjab,bat,Chennai Super Kings,0,9
Royal Challengers Bengaluru,Kolkata Knight Riders,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2024,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7
Delhi Daredevils,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,2013,Delhi Daredevils,field,Royal Challengers Bangalore,4,0
Gujarat Titans,Sunrisers Hyderabad,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2023,Sunrisers Hyderabad,field,Gujarat Titans,34,0
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,Sawai Mansingh Stadium,2011,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9
Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai,"Brabourne Stadium, Mumbai",2022,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,9
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,M Chinnaswamy Stadium,2016,Kings XI Punjab,field,Royal Challengers Bangalore,82,0
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,Eden Gardens,2009/10,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2013,Mumbai Indians,bat,Sunrisers Hyderabad,0,7
Punjab Kings,Kolkata Knight Riders,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2021,Kolkata Knight Riders,field,Kolkata Knight Riders,0,5
Royal Challengers Bangalore,Kolkata Knight Riders,Durban,Kingsmead,2009,Kolkata Knight Riders,bat,Royal Challengers Bangalore,0,5
Chennai Super Kings,Delhi Capitals,Chennai,MA Chidambaram Stadium,2019,Delhi Capitals,field,Chennai Super Kings,80,0
Lucknow Super Giants,Delhi Capitals,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Delhi Capitals,field,Lucknow Super Giants,50,0
Kings XI Punjab,Mumbai Indians,Centurion,SuperSport Park,2009,Kings XI Punjab,bat,Mumbai Indians,0,8
Mumbai Indians,Delhi Daredevils,Mumbai,Wankhede Stadium,2015,Delhi Daredevils,bat,Mumbai Indians,0,5
Lucknow Super Giants,Kolkata Knight Riders,Kolkata,"Eden Gardens, Kolkata",2024,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8
Mumbai Indians,Delhi Capitals,Mumbai,"Wankhede Stadium, Mumbai",2025,Delhi Capitals,field,Mumbai Indians,59,0
Royal Challengers Bengaluru,Punjab Kings,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2025,Punjab Kings,field,Punjab Kings,0,5
Kings XI Punjab,Rajasthan Royals,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2007/08,Rajasthan Royals,field,Kings XI Punjab,41,0
Rajasthan Royals,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2024,Rajasthan Royals,bat,Chennai Super Kings,0,5
Chennai Super Kings,Kings XI Punjab,Centurion,SuperSport Park,2009,Chennai Super Kings,bat,Chennai Super Kings,12,0
Chennai Super Kings,Mumbai Indians,Chennai,"MA Chidambaram Stadium, Chepauk",2012,Mumbai Indians,field,Mumbai Indians,0,8
Punjab Kings,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021,Punjab Kings,bat,Sunrisers Hyderabad,0,9
Sunrisers Hyderabad,Delhi Capitals,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2025,Sunrisers Hyderabad,bat,Delhi Capitals,0,7
Punjab Kings,Sunrisers Hyderabad,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024,Punjab Kings,bat,Sunrisers Hyderabad,0,4
Delhi Daredevils,Rajasthan Royals,Delhi,Feroz Shah Kotla,2015,Rajasthan Royals,field,Rajasthan Royals,0,3
Gujarat Titans,Royal Challengers Bengaluru,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2024,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,0,4
Delhi Daredevils,Pune Warriors,Raipur,Shaheed Veer Narayan Singh International Stadium,2013,Pune Warriors,field,Delhi Daredevils,15,0
Chennai Super Kings,Deccan Chargers,Chennai,"MA Chidambaram Stadium, Chepauk",2009/10,Deccan Chargers,bat,Deccan Chargers,31,0
Royal Challengers Bangalore,Deccan Chargers,Bangalore,M Chinnaswamy Stadium,2007/08,Deccan Chargers,field,Royal Challengers Bangalore,3,0
Gujarat Lions,Kolkata Knight Riders,Rajkot,Saurashtra Cricket Association Stadium,2017,Kolkata Knight Riders,field,Kolkata Knight Riders,0,10
Chennai Super Kings,Rajasthan Royals,Jaipur,Sawai Mansingh Stadium,2018,Chennai Super Kings,bat,Rajasthan Royals,0,4
Gujarat Lions,Royal Challengers Bangalore,Bangalore,M Chinnaswamy Stadium,2016,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,4
Chennai Super Kings,Gujarat Titans,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2023,Gujarat Titans,field,Gujarat Titans,0,5
Mumbai Indians,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,2017,Mumbai Indians,field,Mumbai Indians,0,4
Deccan Chargers,Delhi Daredevils,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2012,Deccan Chargers,bat,Delhi Daredevils,0,9
Royal Challengers Bengaluru,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2024,Mumbai Indians,field,Mumbai Indians,0,7
Royal Challengers Bangalore,Pune Warriors,Bangalore,M Chinnaswamy Stadium,2011,Pune Warriors,field,Royal Challengers Bangalore,26,0
Delhi Daredevils,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,2011,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,3
Lucknow Super Giants,Royal Challengers Bengaluru,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2024,Royal Challengers Bengaluru,field,Lucknow Super Giants,28,0
Rajasthan Royals,Royal Challengers Bangalore,Pune,"Maharashtra Cricket Association Stadium, Pune",2022,Royal Challengers Bangalore,field,Rajasthan Royals,29,0
Rajasthan Royals,Mumbai Indians,Ahmedabad,"Sardar Patel Stadium, Motera",2015,Mumbai Indians,bat,Rajasthan Royals,0,7
Mumbai Indians,Rajasthan Royals,Mumbai,Wankhede Stadium,2012,Rajasthan Royals,field,Mumbai Indians,27,0
Kolkata Knight Riders,Chennai Super Kings,Kolkata,Eden Gardens,2019,Chennai Super Kings,field,Chennai Super Kings,0,5
Mumbai Indians,Kings XI Punjab,Mumbai,Wankhede Stadium,2013,Mumbai Indians,bat,Mumbai Indians,4,0
Deccan Chargers,Kolkata Knight Riders,Cape Town,Newlands,2009,Kolkata Knight Riders,bat,Deccan Chargers,0,8
Rajasthan Royals,Chennai Super Kings,Jaipur,Sawai Mansingh Stadium,2012,Chennai Super Kings,field,Chennai Super Kings,0,4
Deccan Chargers,Mumbai Indians,Mumbai,Dr DY Patil Sports Academy,2009/10,Deccan Chargers,field,Mumbai Indians,41,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017,Royal Challengers Bangalore,field,Sunrisers Hyderabad,35,0
Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017,Kings XI Punjab,field,Sunrisers Hyderabad,5,0
Royal Challengers Bangalore,Mumbai Indians,Johannesburg,New Wanderers Stadium,2009,Mumbai Indians,bat,Royal Challengers Bangalore,0,9
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025,Mumbai Indians,field,Mumbai Indians,0,7
Lucknow Super Giants,Rajasthan Royals,Jaipur,"Sawai Mansingh Stadium, Jaipur",2023,Rajasthan Royals,field,Lucknow Super Giants,10,0
Punjab Kings,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021,Rajasthan Royals,field,Punjab Kings,4,0
Rajasthan Royals,Royal Challengers Bangalore,Bengaluru,M.Chinnaswamy Stadium,2018,Royal Challengers Bangalore,field,Rajasthan Royals,19,0
Chennai Super Kings,Mumbai Indians,Mumbai,Brabourne Stadium,2014,Chennai Super Kings,field,Chennai Super Kings,0,7
Delhi Daredevils,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk",2012,Delhi Daredevils,field,Chennai Super Kings,86,0
Chennai Super Kings,Pune Warriors,Chennai,"MA Chidambaram Stadium, Chepauk",2013,Pune Warriors,bat,Pune Warriors,24,0
Mumbai Indians,Sunrisers Hyderabad,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021,Mumbai Indians,bat,Mumbai Indians,42,0
Kings XI Punjab,Rajasthan Royals,NA,Sharjah Cricket Stadium,2020/21,Rajasthan Royals,field,Rajasthan Royals,0,4
Rajasthan Royals,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021,Mumbai Indians,field,Mumbai Indians,0,7
Mumbai Indians,Kolkata Knight Riders,Mumbai,Wankhede Stadium,2011,Mumbai Indians,field,Mumbai Indians,0,4
Rajasthan Royals,Chennai Super Kings,Ahmedabad,"Sardar Patel Stadium, Motera",2009/10,Rajasthan Royals,bat,Rajasthan Royals,17,0
Mumbai Indians,Delhi Daredevils,Mumbai,Wankhede Stadium,2014,Delhi Daredevils,field,Mumbai Indians,15,0
Sunrisers Hyderabad,Lucknow Super Giants,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025,Lucknow Super Giants,field,Lucknow Super Giants,0,5
Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,5
Royal Challengers Bangalore,Rajasthan Royals,Bangalore,M Chinnaswamy Stadium,2009/10,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,10
Delhi Daredevils,Gujarat Lions,Delhi,Feroz Shah Kotla,2017,Delhi Daredevils,field,Delhi Daredevils,0,7
Sunrisers Hyderabad,Chennai Super Kings,Mumbai,Wankhede Stadium,2018,Chennai Super Kings,field,Chennai Super Kings,0,8
Kolkata Knight Riders,Royal Challengers Bangalore,Ranchi,JSCA International Stadium Complex,2013,Kolkata Knight Riders,field,Kolkata Knight Riders,0,5
Kolkata Knight Riders,Punjab Kings,Kolkata,"Eden Gardens, Kolkata",2024,Punjab Kings,field,Punjab Kings,0,8
Kolkata Knight Riders,Rajasthan Royals,Durban,Kingsmead,2009,Kolkata Knight Riders,field,Kolkata Knight Riders,0,4
Punjab Kings,Kolkata Knight Riders,Kolkata,"Eden Gardens, Kolkata",2023,Punjab Kings,bat,Kolkata Knight Riders,0,5
Chennai Super Kings,Rajasthan Royals,Chennai,"MA Chidambaram Stadium, Chepauk",2009/10,Chennai Super Kings,bat,Chennai Super Kings,23,0
Mumbai Indians,Kings XI Punjab,Mumbai,Wankhede Stadium,2018,Kings XI Punjab,field,Mumbai Indians,3,0
Mumbai Indians,Kolkata Knight Riders,Kolkata,Eden Gardens,2018,Kolkata Knight Riders,field,Mumbai Indians,102,0
Mumbai Indians,Rajasthan Royals,Mumbai,Wankhede Stadium,2011,Mumbai Indians,bat,Rajasthan Royals,0,10
Royal Challengers Bangalore,Sunrisers Hyderabad,Bengaluru,M.Chinnaswamy Stadium,2018,Sunrisers Hyderabad,field,Royal Challengers Bangalore,14,0
Delhi Daredevils,Mumbai Indians,Delhi,Feroz Shah Kotla,2016,Mumbai Indians,field,Delhi Daredevils,10,0
Mumbai Indians,Rajasthan Royals,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Mumbai Indians,bat,Rajasthan Royals,0,8
Lucknow Super Giants,Mumbai Indians,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,Mumbai Indians,field,Lucknow Super Giants,12,0
Kings XI Punjab,Rajasthan Royals,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Rajasthan Royals,field,Rajasthan Royals,0,7
Punjab Kings,Delhi Capitals,Mumbai,"Wankhede Stadium, Mumbai",2021,Delhi Capitals,field,Delhi Capitals,0,6
Royal Challengers Bangalore,Rajasthan Royals,Bangalore,M Chinnaswamy Stadium,2013,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7
Sunrisers Hyderabad,Royal Challengers Bangalore,Bengaluru,M.Chinnaswamy Stadium,2019,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,4
Chennai Super Kings,Mumbai Indians,Mumbai,Wankhede Stadium,2015,Mumbai Indians,bat,Mumbai Indians,25,0
Sunrisers Hyderabad,Kolkata Knight Riders,Dubai,Dubai International Cricket Stadium,2021,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,6
Sunrisers Hyderabad,Kolkata Knight Riders,Delhi,"Arun Jaitley Stadium, Delhi",2025,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,110,0
Sunrisers Hyderabad,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2023,Mumbai Indians,field,Mumbai Indians,0,8
Royal Challengers Bangalore,Delhi Capitals,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Delhi Capitals,field,Delhi Capitals,0,6
Royal Challengers Bangalore,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2023,Mumbai Indians,field,Mumbai Indians,0,6
Mumbai Indians,Rajasthan Royals,Mumbai,Wankhede Stadium,2014,Mumbai Indians,field,Mumbai Indians,0,5
Chennai Super Kings,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2025,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,5
Kolkata Knight Riders,Rising Pune Supergiants,Kolkata,Eden Gardens,2016,Rising Pune Supergiants,bat,Kolkata Knight Riders,0,8
Kings XI Punjab,Rajasthan Royals,Durban,Kingsmead,2009,Kings XI Punjab,field,Rajasthan Royals,78,0
Delhi Daredevils,Sunrisers Hyderabad,Delhi,Feroz Shah Kotla,2017,Delhi Daredevils,field,Delhi Daredevils,0,6
Delhi Daredevils,Kolkata Knight Riders,Durban,Kingsmead,2009,Kolkata Knight Riders,bat,Delhi Daredevils,0,9
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,Rajiv Gandhi International Stadium,2018,Royal Challengers Bangalore,field,Sunrisers Hyderabad,5,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,"Eden Gardens, Kolkata",2024,Delhi Capitals,bat,Kolkata Knight Riders,0,7
Delhi Daredevils,Chennai Super Kings,Delhi,Feroz Shah Kotla,2012,Delhi Daredevils,field,Delhi Daredevils,0,8
Kings XI Punjab,Kolkata Knight Riders,Pune,Maharashtra Cricket Association Stadium,2015,Kolkata Knight Riders,field,Kolkata Knight Riders,0,4
Royal Challengers Bangalore,Lucknow Super Giants,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,18,0
Kolkata Knight Riders,Chennai Super Kings,NA,Dubai International Cricket Stadium,2020/21,Chennai Super Kings,field,Chennai Super Kings,0,6
Kolkata Knight Riders,Chennai Super Kings,Kolkata,Eden Gardens,2012,Chennai Super Kings,field,Chennai Super Kings,0,5
Rajasthan Royals,Delhi Capitals,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Delhi Capitals,field,Delhi Capitals,0,8
Rajasthan Royals,Mumbai Indians,Jaipur,Sawai Mansingh Stadium,2013,Rajasthan Royals,bat,Rajasthan Royals,87,0
Rajasthan Royals,Mumbai Indians,Ahmedabad,"Sardar Patel Stadium, Motera",2014,Mumbai Indians,bat,Mumbai Indians,25,0
Gujarat Lions,Rising Pune Supergiants,Rajkot,Saurashtra Cricket Association Stadium,2016,Rising Pune Supergiants,bat,Gujarat Lions,0,7
Chennai Super Kings,Kolkata Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2025,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8
Delhi Capitals,Royal Challengers Bangalore,Delhi,Arun Jaitley Stadium,2019,Delhi Capitals,bat,Delhi Capitals,16,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,Wankhede Stadium,2016,Mumbai Indians,field,Mumbai Indians,0,6
Mumbai Indians,Kolkata Knight Riders,Mumbai,Wankhede Stadium,2012,Mumbai Indians,field,Kolkata Knight Riders,32,0
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata,"Eden Gardens, Kolkata",2025,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,0,7
Sunrisers Hyderabad,Rising Pune Supergiants,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016,Rising Pune Supergiants,field,Rising Pune Supergiants,34,0
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,Punjab Cricket Association IS Bindra Stadium,2018,Kings XI Punjab,bat,Kings XI Punjab,15,0
Delhi Daredevils,Rajasthan Royals,Delhi,Feroz Shah Kotla,2013,Rajasthan Royals,bat,Rajasthan Royals,5,0
Sunrisers Hyderabad,Delhi Capitals,Delhi,"Arun Jaitley Stadium, Delhi",2024,Delhi Capitals,field,Sunrisers Hyderabad,67,0
Mumbai Indians,Kings XI Punjab,Mumbai,Wankhede Stadium,2017,Mumbai Indians,field,Kings XI Punjab,7,0
Royal Challengers Bangalore,Delhi Daredevils,Bangalore,M Chinnaswamy Stadium,2012,Delhi Daredevils,field,Royal Challengers Bangalore,20,0
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,Sawai Mansingh Stadium,2012,Rajasthan Royals,field,Royal Challengers Bangalore,46,0
Chennai Super Kings,Kolkata Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",2009/10,Kolkata Knight Riders,bat,Chennai Super Kings,0,9
Gujarat Lions,Sunrisers Hyderabad,Delhi,Feroz Shah Kotla,2016,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,4
Kolkata Knight Riders,Mumbai Indians,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Mumbai Indians,field,Kolkata Knight Riders,52,0
Kolkata Knight Riders,Chennai Super Kings,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021,Kolkata Knight Riders,bat,Chennai Super Kings,0,2
