team1,team2,city,venue,season,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets
Delhi Daredevils,Rajasthan Royals,Centurion,SuperSport Park,2009,Delhi Daredevils,bat,Rajasthan Royals,0,5
Mumbai Indians,Delhi Capitals,Mumbai,"Wankhede Stadium, Mumbai",2024,Delhi Capitals,field,Mumbai Indians,29,0
Chennai Super Kings,Delhi Capitals,Mumbai,"Wankhede Stadium, Mumbai",2021,Delhi Capitals,field,Delhi Capitals,0,7
Kings XI Punjab,Rajasthan Royals,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2014,Rajasthan Royals,field,Kings XI Punjab,16,0
Chennai Super Kings,Rajasthan Royals,Chennai,"MA Chidambaram Stadium, Chepauk",2012,Rajasthan Royals,bat,Chennai Super Kings,0,7
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,Rajiv Gandhi International Stadium,2018,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,5
Punjab Kings,Sunrisers Hyderabad,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8
Rajasthan Royals,Mumbai Indians,Jaipur,Sawai Mansingh Stadium,2011,Rajasthan Royals,field,Rajasthan Royals,0,7
Lucknow Super Giants,Delhi Capitals,Mumbai,"Wankhede Stadium, Mumbai",2022,Lucknow Super Giants,bat,Lucknow Super Giants,6,0
Kings XI Punjab,Chennai Super Kings,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2007/08,Chennai Super Kings,bat,Chennai Super Kings,33,0
Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,Punjab Cricket Association IS Bindra Stadium,2019,Kings XI Punjab,field,Kings XI Punjab,0,6
Sunrisers Hyderabad,Delhi Capitals,NA,Dubai International Cricket Stadium,2020/21,Delhi Capitals,field,Sunrisers Hyderabad,88,0
Royal Challengers Bangalore,Chennai Super Kings,Chennai,MA Chidambaram Stadium,2019,Chennai Super Kings,field,Chennai Super Kings,0,7
Kings XI Punjab,Sunrisers Hyderabad,NA,Sharjah Cricket Stadium,2014,Sunrisers Hyderabad,field,Kings XI Punjab,72,0
Gujarat Titans,Punjab Kings,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Gujarat Titans,bat,Punjab Kings,0,8
Kolkata Knight Riders,Deccan Chargers,Kolkata,Eden Gardens,2011,Kolkata Knight Riders,bat,Kolkata Knight Riders,9,0
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017,Kings XI Punjab,field,Sunrisers Hyderabad,26,0
Chennai Super Kings,Mumbai Indians,NA,Sharjah Cricket Stadium,2020/21,Mumbai Indians,field,Mumbai Indians,0,10
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,Eden Gardens,2015,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,3
Mumbai Indians,Kolkata Knight Riders,Mumbai,Wankhede Stadium,2017,Mumbai Indians,field,Mumbai Indians,0,4
Rajasthan Royals,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021,Mumbai Indians,field,Mumbai Indians,0,8
