team1,team2,city,venue,season,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets
Punjab Kings,Gujarat Titans,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2026,Gujarat Titans,field,Gujarat Titans,0,4
Royal Challengers Bengaluru,Delhi Capitals,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2026,Delhi Capitals,field,Delhi Capitals,0,6
Royal Challengers Bengaluru,Punjab Kings,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2026,Punjab Kings,field,Royal Challengers Bengaluru,23,0
Mumbai Indians,Delhi Capitals,Delhi,"Arun Jaitley Stadium, Delhi",2026,Delhi Capitals,field,Delhi Capitals,0,6
Lucknow Super Giants,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2026,Chennai Super Kings,field,Chennai Super Kings,0,5
Royal Challengers Bengaluru,Chennai Super Kings,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2026,Chennai Super Kings,field,Royal Challengers Bengaluru,43,0
Royal Challengers Bengaluru,Gujarat Titans,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2026,Gujarat Titans,field,Gujarat Titans,0,4
Gujarat Titans,Sunrisers Hyderabad,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2026,Sunrisers Hyderabad,field,Gujarat Titans,82,0
Sunrisers Hyderabad,Punjab Kings,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026,Punjab Kings,field,Sunrisers Hyderabad,33,0
Sunrisers Hyderabad,Delhi Capitals,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026,Delhi Capitals,field,Sunrisers Hyderabad,47,0
Mumbai Indians,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2026,Mumbai Indians,bat,Chennai Super Kings,0,8
Delhi Capitals,Punjab Kings,Delhi,"Arun Jaitley Stadium, Delhi",2026,Delhi Capitals,bat,Punjab Kings,0,6
Chennai Super Kings,Punjab Kings,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2026,Punjab Kings,field,Punjab Kings,0,5
Sunrisers Hyderabad,Royal Challengers Bengaluru,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,55,0
Punjab Kings,Mumbai Indians,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2026,Mumbai Indians,field,Mumbai Indians,0,6
Kolkata Knight Riders,Lucknow Super Giants,Kolkata,"Eden Gardens, Kolkata",2026,Lucknow Super Giants,field,Lucknow Super Giants,0,3
Royal Challengers Bengaluru,Gujarat Titans,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2026,Gujarat Titans,field,Royal Challengers Bengaluru,92,0
Royal Challengers Bengaluru,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2026,Mumbai Indians,field,Royal Challengers Bengaluru,18,0
Rajasthan Royals,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2026,Mumbai Indians,field,Rajasthan Royals,30,0
Rajasthan Royals,Delhi Capitals,Delhi,"Arun Jaitley Stadium, Delhi",2026,Delhi Capitals,field,Delhi Capitals,0,5
Delhi Capitals,Kolkata Knight Riders,Delhi,"Arun Jaitley Stadium, Delhi",2026,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8
Lucknow Super Giants,Rajasthan Royals,Jaipur,"Sawai Mansingh Stadium, Jaipur",2026,Rajasthan Royals,field,Rajasthan Royals,0,7
